hsk_id,category,name,level,volume,lesson,note
hsk30-g4-033,固定格式,,4,标准教程4上,6,已核·邻近归属（结构见 L6 课文标题：一分钱一分货；无专注）
hsk30-g4-034,固定格式,,4,标准教程4上,1,已核·邻近归属（归(在)……上 L1）
hsk30-g4-035,固定格式,,4,标准教程4下,14,已核·注释直接命中（够=4下·14）
hsk30-g4-036,固定格式,,4,标准教程4下,16,已核·注释直接命中（拿……来说=4下·16）
hsk30-g4-037,固定格式,,4,标准教程4下,12,已核·邻近归属（归再……也 L12）
hsk30-g4-038,固定格式,,4,标准教程4下,11,已核·邻近归属（归无论/不管 L11）
hsk30-g4-039,固定格式,,4,标准教程4下,17,已核·注释直接命中（为了……而=4下·17）
hsk30-g4-040,固定格式,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-041,固定格式,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-042,固定格式,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-043,固定格式,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-044,固定格式,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-045,固定格式,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-046,固定格式,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-047,固定格式,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-048,固定格式,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-049,固定格式,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-050,固定格式,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-051,句子成分,,4,,,已核·教材未覆盖·走通用库兜底（极了/坏了=教程3·15，跨册候选）
hsk30-g4-052,句子成分,,4,,,已核·教材未覆盖·走通用库兜底（可能补语=教程3·6，跨册候选）
hsk30-g4-053,句子的类型,句类,4,标准教程4上,9,已核·注释直接命中（难道=4上·9）
hsk30-g4-054,句子的类型,句类,4,标准教程4下,19,已核·邻近归属（归疑问代词活用 4下·19）
hsk30-g4-055,句子的类型,特殊句型,4,,,已核·教材未覆盖·走通用库兜底（把字句2 四册注释均无；把字句1=教程3·11/12/14）
hsk30-g4-056,句子的类型,特殊句型,4,,,已核·教材未覆盖·走通用库兜底（同上）
hsk30-g4-057,句子的类型,特殊句型,4,,,已核·教材未覆盖·走通用库兜底（同上）
hsk30-g4-058,句子的类型,特殊句型,4,,,已核·教材未覆盖·走通用库兜底（同上）
hsk30-g4-059,句子的类型,特殊句型,4,,,已核·教材未覆盖·走通用库兜底（叫/让被动四册注释均无；被字句=教程3·20）
hsk30-g4-060,句子的类型,特殊句型,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-061,句子的类型,特殊句型,4,标准教程4下,18,已核·邻近归属（归把……叫作 4下·18）
hsk30-g4-062,句子的类型,特殊句型,4,标准教程4上,8,已核·注释直接命中（使=4上·8）
hsk30-g4-063,句子的类型,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-064,句子的类型,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-065,句子的类型,,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-066,句子的类型,复句,4,标准教程4上,2,已核·注释直接命中（而=4上·2）
hsk30-g4-067,句子的类型,复句,4,标准教程4上,7,已核·注释直接命中（既……又/也/还=4上·7）
hsk30-g4-068,句子的类型,复句,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-069,句子的类型,复句,4,标准教程4上,3,已核·注释直接命中（首先……其次=4上·3）
hsk30-g4-070,句子的类型,复句,4,标准教程4上,3,已核·邻近归属（教材为首先……其次=4上·3；接着=4下·18）
hsk30-g4-071,句子的类型,复句,4,标准教程4下,14,已核·注释直接命中（于是=4下·14）
hsk30-g4-072,句子的类型,复句,4,标准教程4上,4,已核·注释直接命中（甚至=4上·4）
hsk30-g4-073,句子的类型,复句,4,标准教程4上,1,已核·维持预填（不仅=4上·1，预填正确）
hsk30-g4-074,句子的类型,复句,4,标准教程4下,12,已核·注释直接命中（并且=4下·12）
hsk30-g4-075,句子的类型,复句,4,标准教程4下,11,已核·注释直接命中（连=4下·11）
hsk30-g4-076,句子的类型,复句,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-077,句子的类型,复句,4,标准教程4上,2,已核·注释直接命中（尽管=4上·2；可是=4上·9）
hsk30-g4-078,句子的类型,复句,4,标准教程4下,11,已核·注释直接命中（然而=4下·11）
hsk30-g4-079,句子的类型,复句,4,标准教程4上,10,已核·注释直接命中（不过=4上·10）
hsk30-g4-080,句子的类型,复句,4,标准教程4上,10,已核·邻近归属（归不过 L10）
hsk30-g4-081,句子的类型,复句,4,标准教程4下,11,已核·注释直接命中（否则=4下·11）
hsk30-g4-082,句子的类型,复句,4,标准教程4上,7,已核·注释直接命中（要是=4上·7）
hsk30-g4-083,句子的类型,复句,4,标准教程4上,7,已核·邻近归属（要是=4上·7；否则=4下·11）
hsk30-g4-084,句子的类型,复句,4,标准教程4上,3,已核·注释直接命中（不管=4上·3）
hsk30-g4-085,句子的类型,复句,4,标准教程4下,11,已核·注释直接命中（无论=4下·11）
hsk30-g4-086,句子的类型,复句,4,标准教程4下,14,已核·注释直接命中（既然=4下·14）
hsk30-g4-087,句子的类型,复句,4,标准教程4上,8,已核·注释直接命中（因此=4上·8；由于=4上·10）
hsk30-g4-088,句子的类型,复句,4,标准教程4下,14,已核·邻近归属（归目的连词：以=4下·14）
hsk30-g4-089,句子的类型,复句,4,标准教程4上,1,已核·维持预填（即使=4上·1，预填正确）
hsk30-g4-090,句子的类型,复句,4,标准教程4上,1,已核·邻近归属（归即使……也 L1）
hsk30-g4-091,句子的类型,复句,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-092,句子的类型,复句,4,,,已核·教材未覆盖·走通用库兜底
hsk30-g4-093,特殊表达法,数的表示法,4,标准教程4下,15,已核·注释直接命中（来表约数=4下·15）
hsk30-g4-094,特殊表达法,数的表示法,4,标准教程4下,15,已核·维持预填（左右=4下·15，预填正确）
hsk30-g4-095,特殊表达法,数的表示法,4,标准教程4上,6,已核·注释直接命中（倍=4上·6；小数/分数/百分数未覆盖）
